                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.89046,                0.42801,                 1.0435,                0.91282,                0.90337,                0.95229,                 0.6755,                0.93517,                0.40851,                 1.0849,             0.00054478,             0.00054478,             0.00054478
                     36,                0.88942,                0.42587,                 1.0384,                0.92826,                0.88878,                 0.9555,                0.67784,                0.93197,                0.40418,                 1.0847,             0.00051177,             0.00051177,             0.00051177
                     37,                0.88072,                0.42127,                 1.0374,                0.92965,                0.89821,                0.95428,                0.67326,                0.93348,                0.40435,                 1.0858,             0.00047876,             0.00047876,             0.00047876
                     38,                0.91379,                0.42367,                 1.0413,                  0.922,                0.91171,                0.95717,                 0.6704,                0.93458,                0.40521,                 1.0874,             0.00044576,             0.00044576,             0.00044576
                     39,                0.88927,                 0.4188,                  1.037,                0.91313,                0.88812,                0.95241,                0.67774,                0.92117,                0.39942,                 1.0808,             0.00041275,             0.00041275,             0.00041275
                     40,                0.87561,                 0.4111,                 1.0259,                 0.9221,                0.88725,                0.95194,                0.68066,                0.92035,                0.39221,                 1.0817,             0.00037974,             0.00037974,             0.00037974
                     41,                0.88327,                0.41302,                 1.0624,                0.91282,                0.89311,                0.95088,                 0.6726,                  0.935,                 0.4014,                 1.0842,             0.00034674,             0.00034674,             0.00034674
                     42,                0.87919,                0.40109,                 1.0549,                0.92334,                0.88883,                0.95258,                 0.6739,                0.91971,                0.40732,                  1.073,             0.00031373,             0.00031373,             0.00031373
                     43,                0.88226,                0.40524,                 1.0664,                0.92369,                0.90061,                0.95568,                0.68083,                 0.9161,                0.39832,                  1.074,             0.00028072,             0.00028072,             0.00028072
                     44,                0.86286,                0.39747,                 1.0481,                0.92176,                 0.9027,                0.95424,                0.67865,                0.91589,                0.39685,                   1.08,             0.00024772,             0.00024772,             0.00024772
                     45,                0.86818,                0.39717,                 1.0587,                0.92409,                0.89857,                0.95491,                0.68096,                0.91342,                0.39378,                 1.0755,             0.00021471,             0.00021471,             0.00021471
                     46,                0.86234,                 0.3974,                 1.0621,                0.92777,                0.89593,                0.95591,                 0.6838,                0.91164,                0.38923,                 1.0751,              0.0001817,              0.0001817,              0.0001817
                     47,                0.85167,                0.39075,                 1.0464,                 0.9352,                0.89352,                0.95551,                0.68513,                0.90932,                0.38878,                 1.0756,              0.0001487,              0.0001487,              0.0001487
                     48,                 0.8424,                0.38567,                 1.0391,                0.92751,                0.89459,                0.95539,                0.68473,                0.90934,                0.38536,                 1.0766,             0.00011569,             0.00011569,             0.00011569
                     49,                0.84444,                0.37948,                 1.0335,                0.93185,                0.89668,                0.95658,                0.68668,                0.90551,                0.38092,                 1.0746,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.84187,                0.38386,                  1.047,                0.92244,                0.89968,                0.95673,                0.68506,                0.90254,                0.37979,                 1.0738,             4.9677e-05,             4.9677e-05,             4.9677e-05
