                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.90617,                 0.4355,                 1.0166,                 0.9053,                0.91723,                0.95311,                0.67151,                0.93701,                0.42112,                 1.0471,             0.00057778,             0.00057778,             0.00057778
                     36,                0.90476,                0.43852,                 1.0237,                0.90826,                0.89974,                0.95155,                 0.6746,                0.94513,                0.42124,                 1.0516,             0.00054478,             0.00054478,             0.00054478
                     37,                0.86893,                0.42601,                  1.011,                0.89951,                0.91809,                0.95241,                0.67148,                0.93329,                0.41955,                 1.0553,             0.00051177,             0.00051177,             0.00051177
                     38,                0.87926,                  0.423,                 1.0071,                0.88579,                0.89879,                0.93824,                0.66839,                0.92293,                0.42621,                 1.0465,             0.00047876,             0.00047876,             0.00047876
                     39,                0.90901,                0.43911,                 1.0212,                0.90937,                 0.9042,                0.94772,                0.66874,                0.93435,                0.42865,                 1.0476,             0.00044576,             0.00044576,             0.00044576
                     40,                0.88473,                0.42187,                 1.0069,                 0.9085,                0.89887,                 0.9499,                0.67425,                0.92423,                 0.4182,                 1.0469,             0.00041275,             0.00041275,             0.00041275
                     41,                0.88254,                0.42531,                 1.0265,                  0.913,                0.89994,                0.94709,                0.67033,                0.93593,                 0.4145,                 1.0549,             0.00037974,             0.00037974,             0.00037974
                     42,                0.88235,                0.41626,                 1.0223,                0.90428,                0.89372,                0.94712,                0.67455,                0.92301,                0.41694,                 1.0515,             0.00034674,             0.00034674,             0.00034674
                     43,                0.87299,                0.41015,                 1.0255,                0.91233,                0.89857,                0.94913,                0.67711,                0.92293,                0.40976,                  1.053,             0.00031373,             0.00031373,             0.00031373
                     44,                0.86503,                0.40951,                 1.0251,                0.92213,                 0.8949,                 0.9476,                0.67853,                0.91625,                0.40858,                 1.0519,             0.00028072,             0.00028072,             0.00028072
                     45,                0.85471,                0.40266,                 1.0207,                0.92617,                0.89788,                0.95029,                0.67911,                0.91626,                0.40547,                 1.0495,             0.00024772,             0.00024772,             0.00024772
                     46,                0.86058,                0.40561,                 1.0238,                0.91647,                0.89313,                0.94607,                 0.6774,                0.91835,                0.40555,                 1.0477,             0.00021471,             0.00021471,             0.00021471
                     47,                0.85403,                0.40252,                 1.0216,                0.91884,                0.88165,                0.94598,                 0.6806,                0.91218,                0.40126,                 1.0491,              0.0001817,              0.0001817,              0.0001817
                     48,                 0.8548,                0.39766,                 1.0204,                0.91976,                0.89662,                0.95201,                0.68432,                0.90497,                0.40088,                 1.0445,              0.0001487,              0.0001487,              0.0001487
                     49,                0.83763,                 0.3914,                 1.0139,                0.91127,                0.90059,                0.94774,                0.68089,                0.90766,                0.39605,                 1.0459,             0.00011569,             0.00011569,             0.00011569
                     50,                0.83722,                0.38711,                 1.0081,                0.90668,                0.90506,                0.94524,                0.67817,                0.90884,                0.39409,                 1.0477,             8.2683e-05,             8.2683e-05,             8.2683e-05
